row_number,variable_name,issue_type,current_value,details
159,MotherOccupation,Missing Value,NaN,"Missing value in column ""MotherOccupation"""
160,MotherOccupation,Missing Value,NaN,"Missing value in column ""MotherOccupation"""
17,FatherOccupation,Missing Value,NaN,"Missing value in column ""FatherOccupation"""
121,FatherOccupation,Missing Value,NaN,"Missing value in column ""FatherOccupation"""
122,FatherOccupation,Missing Value,NaN,"Missing value in column ""FatherOccupation"""
123,FatherOccupation,Missing Value,NaN,"Missing value in column ""FatherOccupation"""
124,FatherOccupation,Missing Value,NaN,"Missing value in column ""FatherOccupation"""
125,FatherOccupation,Missing Value,NaN,"Missing value in column ""FatherOccupation"""
126,FatherOccupation,Missing Value,NaN,"Missing value in column ""FatherOccupation"""
127,FatherOccupation,Missing Value,NaN,"Missing value in column ""FatherOccupation"""
128,FatherOccupation,Missing Value,NaN,"Missing value in column ""FatherOccupation"""
129,FatherOccupation,Missing Value,NaN,"Missing value in column ""FatherOccupation"""
130,FatherOccupation,Missing Value,NaN,"Missing value in column ""FatherOccupation"""
131,FatherOccupation,Missing Value,NaN,"Missing value in column ""FatherOccupation"""
132,FatherOccupation,Missing Value,NaN,"Missing value in column ""FatherOccupation"""
133,FatherOccupation,Missing Value,NaN,"Missing value in column ""FatherOccupation"""
134,FatherOccupation,Missing Value,NaN,"Missing value in column ""FatherOccupation"""
135,FatherOccupation,Missing Value,NaN,"Missing value in column ""FatherOccupation"""
136,FatherOccupation,Missing Value,NaN,"Missing value in column ""FatherOccupation"""
137,FatherOccupation,Missing Value,NaN,"Missing value in column ""FatherOccupation"""
138,FatherOccupation,Missing Value,NaN,"Missing value in column ""FatherOccupation"""
139,FatherOccupation,Missing Value,NaN,"Missing value in column ""FatherOccupation"""
140,FatherOccupation,Missing Value,NaN,"Missing value in column ""FatherOccupation"""
141,FatherOccupation,Missing Value,NaN,"Missing value in column ""FatherOccupation"""
142,FatherOccupation,Missing Value,NaN,"Missing value in column ""FatherOccupation"""
143,FatherOccupation,Missing Value,NaN,"Missing value in column ""FatherOccupation"""
144,FatherOccupation,Missing Value,NaN,"Missing value in column ""FatherOccupation"""
145,FatherOccupation,Missing Value,NaN,"Missing value in column ""FatherOccupation"""
146,FatherOccupation,Missing Value,NaN,"Missing value in column ""FatherOccupation"""
147,FatherOccupation,Missing Value,NaN,"Missing value in column ""FatherOccupation"""
148,FatherOccupation,Missing Value,NaN,"Missing value in column ""FatherOccupation"""
149,FatherOccupation,Missing Value,NaN,"Missing value in column ""FatherOccupation"""
150,FatherOccupation,Missing Value,NaN,"Missing value in column ""FatherOccupation"""
151,FatherOccupation,Missing Value,NaN,"Missing value in column ""FatherOccupation"""
152,FatherOccupation,Missing Value,NaN,"Missing value in column ""FatherOccupation"""
153,FatherOccupation,Missing Value,NaN,"Missing value in column ""FatherOccupation"""
