row_number,variable_name,issue_type,current_value,details,missing_category
87,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify""",conditional
88,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify""",conditional
89,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify""",conditional
90,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify""",conditional
91,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify""",conditional
92,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify""",conditional
93,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify""",conditional
94,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify""",conditional
95,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify""",conditional
96,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify""",conditional
97,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify""",conditional
98,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify""",conditional
99,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify""",conditional
100,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify""",conditional
101,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify""",conditional
102,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify""",conditional
103,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify""",conditional
104,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify""",conditional
105,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify""",conditional
106,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify""",conditional
107,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify""",conditional
108,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify""",conditional
109,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify""",conditional
110,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify""",conditional
111,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify""",conditional
